date,year,month,day,week_of_year,is_weekend,holiday_flag
2025-01-01,2025,1,1,1,False,False
2025-01-02,2025,1,2,1,False,False
2025-01-03,2025,1,3,1,False,False
2025-01-04,2025,1,4,1,True,False
2025-01-05,2025,1,5,1,True,False
2025-01-06,2025,1,6,2,False,False
2025-01-07,2025,1,7,2,False,False
2025-01-08,2025,1,8,2,False,False
2025-01-09,2025,1,9,2,False,False
2025-01-10,2025,1,10,2,False,False
2025-01-11,2025,1,11,2,True,False
2025-01-12,2025,1,12,2,True,False
2025-01-13,2025,1,13,3,False,False
2025-01-14,2025,1,14,3,False,False
2025-01-15,2025,1,15,3,False,False
2025-01-16,2025,1,16,3,False,True
2025-01-17,2025,1,17,3,False,False
2025-01-18,2025,1,18,3,True,False
2025-01-19,2025,1,19,3,True,False
2025-01-20,2025,1,20,4,False,False
2025-01-21,2025,1,21,4,False,False
2025-01-22,2025,1,22,4,False,False
2025-01-23,2025,1,23,4,False,False
2025-01-24,2025,1,24,4,False,False
2025-01-25,2025,1,25,4,True,False
2025-01-26,2025,1,26,4,True,False
2025-01-27,2025,1,27,5,False,False
2025-01-28,2025,1,28,5,False,False
2025-01-29,2025,1,29,5,False,False
2025-01-30,2025,1,30,5,False,False
2025-01-31,2025,1,31,5,False,False
2025-02-01,2025,2,1,5,True,False
2025-02-02,2025,2,2,5,True,False
2025-02-03,2025,2,3,6,False,True
2025-02-04,2025,2,4,6,False,False
2025-02-05,2025,2,5,6,False,False
2025-02-06,2025,2,6,6,False,False
2025-02-07,2025,2,7,6,False,False
2025-02-08,2025,2,8,6,True,False
2025-02-09,2025,2,9,6,True,True
2025-02-10,2025,2,10,7,False,False
2025-02-11,2025,2,11,7,False,False
2025-02-12,2025,2,12,7,False,False
2025-02-13,2025,2,13,7,False,False
2025-02-14,2025,2,14,7,False,False
2025-02-15,2025,2,15,7,True,False
2025-02-16,2025,2,16,7,True,False
2025-02-17,2025,2,17,8,False,False
2025-02-18,2025,2,18,8,False,False
2025-02-19,2025,2,19,8,False,False
2025-02-20,2025,2,20,8,False,False
2025-02-21,2025,2,21,8,False,False
2025-02-22,2025,2,22,8,True,False
2025-02-23,2025,2,23,8,True,False
2025-02-24,2025,2,24,9,False,False
2025-02-25,2025,2,25,9,False,True
2025-02-26,2025,2,26,9,False,False
2025-02-27,2025,2,27,9,False,True
2025-02-28,2025,2,28,9,False,False
2025-03-01,2025,3,1,9,True,False
2025-03-02,2025,3,2,9,True,False
2025-03-03,2025,3,3,10,False,False
2025-03-04,2025,3,4,10,False,False
2025-03-05,2025,3,5,10,False,False
2025-03-06,2025,3,6,10,False,False
2025-03-07,2025,3,7,10,False,False
2025-03-08,2025,3,8,10,True,False
2025-03-09,2025,3,9,10,True,False
2025-03-10,2025,3,10,11,False,False
2025-03-11,2025,3,11,11,False,False
2025-03-12,2025,3,12,11,False,False
2025-03-13,2025,3,13,11,False,False
2025-03-14,2025,3,14,11,False,False
2025-03-15,2025,3,15,11,True,False
2025-03-16,2025,3,16,11,True,False
2025-03-17,2025,3,17,12,False,False
2025-03-18,2025,3,18,12,False,True
2025-03-19,2025,3,19,12,False,False
2025-03-20,2025,3,20,12,False,False
2025-03-21,2025,3,21,12,False,False
2025-03-22,2025,3,22,12,True,False
2025-03-23,2025,3,23,12,True,False
2025-03-24,2025,3,24,13,False,False
2025-03-25,2025,3,25,13,False,False
2025-03-26,2025,3,26,13,False,False
2025-03-27,2025,3,27,13,False,False
2025-03-28,2025,3,28,13,False,False
2025-03-29,2025,3,29,13,True,False
2025-03-30,2025,3,30,13,True,False
2025-03-31,2025,3,31,14,False,False
2025-04-01,2025,4,1,14,False,False
2025-04-02,2025,4,2,14,False,False
2025-04-03,2025,4,3,14,False,False
2025-04-04,2025,4,4,14,False,False
2025-04-05,2025,4,5,14,True,False
2025-04-06,2025,4,6,14,True,False
2025-04-07,2025,4,7,15,False,False
