txn_month,channel_name,txn_count,gmv,net_revenue
2025-01,CARD,617,177570.91,813.2792079999999
2025-01,NETBANKING,197,58875.63,98.29685499999998
2025-01,UPI,2791,851375.76,2795.243295
2025-01,WALLET,395,122322.59,403.63444300000003
2025-02,CARD,570,176218.56,438.37465699999996
2025-02,NETBANKING,166,45580.94,-15.48807099999999
2025-02,UPI,2598,813135.0599999999,2087.141211
2025-02,WALLET,361,106914.17,-1.200178000000002
2025-03,CARD,586,169217.32,763.778057
2025-03,NETBANKING,195,69321.48,-15.999396000000033
2025-03,UPI,2762,844328.69,2383.710175
2025-03,WALLET,393,109745.5,352.552775
2025-04,CARD,596,182264.51,558.504034
2025-04,NETBANKING,190,57539.53,236.688261
2025-04,UPI,2606,765799.53,2694.432893
2025-04,WALLET,378,106381.3,578.350612
2025-05,CARD,652,190605.67,81.46549299999998
2025-05,NETBANKING,215,61786.91,427.960954
2025-05,UPI,2866,846447.04,2640.966286
2025-05,WALLET,427,121124.45,485.038356
2025-06,CARD,631,190797.65,324.048874
2025-06,NETBANKING,205,59258.71,131.44799000000003
2025-06,UPI,2587,780603.92,2998.782736
2025-06,WALLET,347,107853.65,700.215951
2025-07,CARD,591,190572.63999999998,391.786286
2025-07,NETBANKING,186,55330.89,128.01483399999998
2025-07,UPI,2919,893947.36,2905.32564
2025-07,WALLET,445,141809.63,974.842679
2025-08,CARD,568,168159.47,449.830263
2025-08,NETBANKING,170,53216.51,247.698354
2025-08,UPI,2946,873503.84,2601.161829
2025-08,WALLET,414,135361.98,397.3213190000001
2025-09,CARD,564,159997.99,280.96594699999997
2025-09,NETBANKING,200,59632.13,52.337592
2025-09,UPI,2781,824580.54,1540.9493300000001
2025-09,WALLET,396,114164.82,141.161667
2025-10,CARD,614,177285.83,505.931337
2025-10,NETBANKING,186,50442.4,87.089309
2025-10,UPI,2816,862540.27,2631.646385
2025-10,WALLET,369,109926.93000000001,233.738939
2025-11,CARD,560,163992.07,803.7429529999999
2025-11,NETBANKING,200,54642.34,384.008553
2025-11,UPI,2874,860357.2,3571.386652
2025-11,WALLET,400,116685.06,407.43073100000004
2025-12,CARD,596,186052.94,484.69844900000004
2025-12,NETBANKING,193,45652.58,224.50132100000002
2025-12,UPI,2835,834745.08,1181.703029
2025-12,WALLET,394,122385.83,-56.99605200000001
