customer_id,last_txn_date,frequency,monetary,net_revenue,recency_days,r_score,f_score,m_score,rfm_total,rfm_segment,segment_tag
1,2025-11-13,3,294.94,3.005636,48,4,2,1,7,New Customers,B
2,2025-12-16,4,435.64,-1.1298940000000006,15,5,3,2,10,Loyal Users,B
3,2025-07-14,3,637.0799999999999,-7.454933000000002,170,1,2,2,5,Hibernating,B
4,2025-11-09,2,343.59,5.8425769999999995,52,4,1,1,6,New Customers,B
5,2025-06-06,4,520.53,-4.8261140000000005,208,1,3,2,6,At Risk,D
8,2025-08-19,5,2456.7200000000003,-1.1722619999999964,134,2,4,5,11,At Risk,D
9,2025-09-24,3,373.55,-13.246719999999998,98,2,2,2,6,Hibernating,B
10,2025-09-24,2,573.37,-2.075845000000001,98,2,1,2,5,Hibernating,B
11,2025-12-06,3,510.2,5.916886999999999,25,4,2,2,8,New Customers,A
12,2025-12-16,5,779.05,-6.72941,15,5,4,3,12,Loyal Users,D
13,2025-12-31,3,782.84,0.6938140000000006,0,5,2,3,10,New Customers,D
14,2025-09-25,2,285.48,2.41402,97,2,1,1,4,Hibernating,A
15,2025-12-11,3,336.68,2.1411599999999997,20,5,2,1,8,New Customers,D
16,2025-11-12,1,226.48,1.574488,49,4,1,1,6,New Customers,A
17,2025-11-03,3,900.6899999999999,-3.2313130000000005,58,3,2,3,8,Potential Loyalists,D
18,2025-12-29,5,1443.96,15.280288000000002,2,5,4,4,13,Champions,C
19,2025-09-29,3,447.42,-1.1675669999999994,93,3,2,2,7,Potential Loyalists,A
20,2025-12-26,5,1343.64,11.377543000000001,5,5,4,4,13,Champions,A
21,2025-07-08,5,2725.75,-22.934665999999993,176,1,4,5,10,At Risk,B
22,2025-10-25,4,2162.63,-48.673873000000015,67,3,3,5,11,Loyal Users,B
23,2025-10-30,4,1838.8000000000002,28.000608000000003,62,3,3,5,11,Loyal Users,A
24,2025-08-03,2,624.97,9.009066,150,2,1,2,5,Hibernating,A
25,2025-12-21,3,1342.49,25.034119000000004,10,5,2,4,11,New Customers,C
26,2025-12-27,3,915.9,-9.278863000000005,4,5,2,3,10,New Customers,D
27,2025-08-08,4,817.14,12.705891,145,2,3,3,8,At Risk,A
28,2025-09-16,2,334.16999999999996,-13.341499,106,2,1,1,4,Hibernating,D
29,2025-01-06,1,182.96,1.563816,359,1,1,1,3,Lost Customers,A
30,2025-01-21,1,251.54,3.517946,344,1,1,1,3,Lost Customers,B
