customer_id,total_txns,total_gmv,lifetime_value,first_txn,last_txn,active_days,clv_bucket,segment_tag
1,3,294.94,3.005636,2025-01-26,2025-11-13,291,Bottom 50%,B
2,4,435.64,-1.1298940000000006,2025-03-23,2025-12-16,268,Bottom 50%,B
3,3,637.0799999999999,-7.454933000000002,2025-01-16,2025-07-14,179,Bottom 50%,B
4,2,343.59,5.8425769999999995,2025-08-09,2025-11-09,92,Top 25%,B
5,4,520.53,-4.8261140000000005,2025-01-08,2025-06-06,149,Bottom 50%,D
8,5,2456.7200000000003,-1.1722619999999964,2025-01-04,2025-08-19,227,Bottom 50%,D
9,3,373.55,-13.246719999999998,2025-04-15,2025-09-24,162,Bottom 50%,B
10,2,573.37,-2.075845000000001,2025-08-11,2025-09-24,44,Bottom 50%,B
11,3,510.2,5.916886999999999,2025-04-01,2025-12-06,249,Top 25%,A
12,5,779.05,-6.72941,2025-03-11,2025-12-16,280,Bottom 50%,D
13,3,782.84,0.6938140000000006,2025-07-04,2025-12-31,180,Bottom 50%,D
14,2,285.48,2.41402,2025-02-13,2025-09-25,224,Bottom 50%,A
15,3,336.68,2.1411599999999997,2025-07-16,2025-12-11,148,Bottom 50%,D
16,1,226.48,1.574488,2025-11-12,2025-11-12,0,Bottom 50%,A
17,3,900.6899999999999,-3.2313130000000005,2025-01-09,2025-11-03,298,Bottom 50%,D
18,5,1443.96,15.280288000000002,2025-01-31,2025-12-29,332,Top 10%,C
19,3,447.42,-1.1675669999999994,2025-03-17,2025-09-29,196,Bottom 50%,A
20,5,1343.64,11.377543000000001,2025-02-06,2025-12-26,323,Top 25%,A
21,5,2725.75,-22.934665999999993,2025-04-14,2025-07-08,85,Bottom 50%,B
22,4,2162.63,-48.673873000000015,2025-01-11,2025-10-25,287,Bottom 50%,B
23,4,1838.8000000000002,28.000608000000003,2025-02-16,2025-10-30,256,Top 1%,A
24,2,624.97,9.009066,2025-06-10,2025-08-03,54,Top 25%,A
25,3,1342.49,25.034119000000004,2025-01-11,2025-12-21,344,Top 1%,C
26,3,915.9,-9.278863000000005,2025-08-24,2025-12-27,125,Bottom 50%,D
27,4,817.14,12.705891,2025-01-11,2025-08-08,209,Top 10%,A
28,2,334.16999999999996,-13.341499,2025-05-11,2025-09-16,128,Bottom 50%,D
29,1,182.96,1.563816,2025-01-06,2025-01-06,0,Bottom 50%,A
30,1,251.54,3.517946,2025-01-21,2025-01-21,0,Bottom 50%,B
31,4,1342.5300000000002,-20.885326,2025-09-24,2025-11-23,60,Bottom 50%,C
32,1,186.68,-4.255208,2025-03-31,2025-03-31,0,Bottom 50%,A
33,2,175.31,-0.18428300000000042,2025-04-25,2025-07-12,78,Bottom 50%,C
34,3,588.63,-0.9320339999999998,2025-02-13,2025-05-23,99,Bottom 50%,D
35,7,2152.21,13.447122999999998,2025-01-15,2025-09-23,251,Top 10%,A
36,3,565.7,8.757576,2025-04-23,2025-10-03,163,Top 25%,C
37,1,70.53,-4.173704000000001,2025-02-24,2025-02-24,0,Bottom 50%,D
38,2,337.04999999999995,3.5693140000000003,2025-01-21,2025-02-25,35,Bottom 50%,C
39,1,138.35,0.99884,2025-05-06,2025-05-06,0,Bottom 50%,D
40,4,1760.96,27.777115,2025-03-12,2025-09-30,202,Top 1%,A
41,4,531.43,5.392265,2025-01-11,2025-10-08,270,Top 25%,C
42,4,940.07,-8.620525999999998,2025-01-06,2025-07-18,193,Bottom 50%,D
43,5,2736.13,13.648208000000004,2025-01-04,2025-10-15,284,Top 10%,B
44,7,1289.43,12.136007,2025-01-20,2025-12-31,345,Top 10%,A
45,3,512.73,9.921603999999999,2025-04-29,2025-11-11,196,Top 25%,D
46,2,183.19,3.453302,2025-02-18,2025-07-30,162,Bottom 50%,A
47,3,1480.3899999999999,16.066677,2025-03-22,2025-05-12,51,Top 10%,C
48,3,604.01,5.815091000000001,2025-01-24,2025-06-01,128,Top 25%,A
49,3,489.32,-15.889503,2025-01-11,2025-10-25,287,Bottom 50%,B
50,4,719.81,6.775217,2025-01-03,2025-11-24,325,Top 25%,B
51,7,933.01,-0.6523339999999984,2025-03-23,2025-11-11,233,Bottom 50%,C
52,6,1345.62,-3.5486889999999973,2025-02-10,2025-12-29,322,Bottom 50%,C
53,9,2297.96,4.553360000000004,2025-02-02,2025-12-01,302,Top 25%,D
54,2,769.76,15.350931,2025-01-04,2025-04-18,104,Top 10%,B
55,4,1058.7,-19.857609999999998,2025-04-05,2025-11-21,230,Bottom 50%,B
56,5,831.97,5.060597000000001,2025-01-21,2025-08-13,204,Top 25%,A
57,4,1648.0700000000002,25.978347999999997,2025-04-30,2025-12-21,235,Top 1%,A
58,5,1426.72,16.598996,2025-01-24,2025-07-25,182,Top 10%,A
59,1,229.47,1.4622829999999998,2025-07-31,2025-07-31,0,Bottom 50%,B
60,4,1039.45,-5.357557,2025-03-13,2025-10-24,225,Bottom 50%,D
61,1,398.54,2.8174440000000005,2025-01-27,2025-01-27,0,Bottom 50%,D
62,3,610.0,6.834114,2025-01-26,2025-11-09,287,Top 25%,C
63,2,480.99,5.7643,2025-03-06,2025-05-31,86,Top 25%,D
64,2,1842.8899999999999,27.45266,2025-03-12,2025-04-17,36,Top 1%,C
65,5,1513.02,20.450243,2025-02-28,2025-11-25,270,Top 1%,D
66,3,684.6800000000001,-14.631992,2025-02-04,2025-12-04,303,Bottom 50%,C
67,6,2696.88,36.400788,2025-02-23,2025-12-25,305,Top 1%,B
68,3,478.87,8.138674000000002,2025-06-13,2025-11-15,155,Top 25%,A
69,4,983.8100000000001,13.081541999999999,2025-06-14,2025-11-09,148,Top 10%,D
70,2,411.03,4.020188000000001,2025-02-03,2025-06-21,138,Bottom 50%,A
71,2,346.61,5.959817,2025-07-12,2025-10-21,101,Top 25%,C
72,5,891.86,-1.2616960000000006,2025-05-01,2025-10-25,177,Bottom 50%,A
73,3,868.3,8.219437,2025-02-19,2025-06-27,128,Top 25%,A
74,6,949.1800000000001,13.674785,2025-01-08,2025-10-12,277,Top 10%,B
75,4,730.62,12.319309,2025-04-02,2025-08-24,144,Top 10%,A
76,3,1634.3,-44.03859799999999,2025-01-14,2025-12-18,338,Bottom 50%,A
77,1,432.91,2.7126450000000006,2025-10-13,2025-10-13,0,Bottom 50%,B
78,2,604.9100000000001,10.898824999999999,2025-01-22,2025-12-19,331,Top 25%,D
79,5,835.2,10.851673,2025-03-17,2025-12-08,266,Top 25%,C
80,3,586.89,-6.916063,2025-04-16,2025-11-30,228,Bottom 50%,B
81,4,1489.29,5.964622000000002,2025-01-15,2025-08-25,222,Top 25%,A
82,6,1424.8999999999999,15.589583999999999,2025-01-01,2025-12-17,350,Top 10%,C
83,6,1321.49,18.389403,2025-01-08,2025-12-04,330,Top 10%,B
84,7,1346.1200000000001,0.6697369999999987,2025-01-04,2025-11-12,312,Bottom 50%,A
85,4,765.5,-2.0397889999999994,2025-03-09,2025-11-19,255,Bottom 50%,D
86,5,729.75,-9.207427000000001,2025-07-11,2025-12-05,147,Bottom 50%,B
87,2,321.12,0.40763800000000017,2025-05-06,2025-10-19,166,Bottom 50%,A
