customer_id,last_txn_date,txn_last_90d,txn_last_30d,total_txns,total_gmv,lifetime_value,days_inactive,churn_risk
1,2025-11-13,1,0,3,294.94,3.005636,48,Medium Risk
2,2025-12-16,1,1,4,435.64,-1.1298940000000006,15,Active
3,2025-07-14,0,0,3,637.0799999999999,-7.454933000000002,170,High Risk
4,2025-11-09,1,0,2,343.59,5.8425769999999995,52,Medium Risk
5,2025-06-06,0,0,4,520.53,-4.8261140000000005,208,High Risk
8,2025-08-19,0,0,5,2456.7200000000003,-1.1722619999999964,134,High Risk
9,2025-09-24,0,0,3,373.55,-13.246719999999998,98,High Risk
10,2025-09-24,0,0,2,573.37,-2.075845000000001,98,High Risk
11,2025-12-06,1,1,3,510.2,5.916886999999999,25,Active
12,2025-12-16,2,1,5,779.05,-6.72941,15,Active
13,2025-12-31,2,1,3,782.84,0.6938140000000006,0,Active
14,2025-09-25,0,0,2,285.48,2.41402,97,High Risk
15,2025-12-11,1,1,3,336.68,2.1411599999999997,20,Active
16,2025-11-12,1,0,1,226.48,1.574488,49,Medium Risk
17,2025-11-03,2,0,3,900.6899999999999,-3.2313130000000005,58,Medium Risk
18,2025-12-29,2,2,5,1443.96,15.280288000000002,2,Active
19,2025-09-29,0,0,3,447.42,-1.1675669999999994,93,High Risk
20,2025-12-26,1,1,5,1343.64,11.377543000000001,5,Active
21,2025-07-08,0,0,5,2725.75,-22.934665999999993,176,High Risk
22,2025-10-25,2,0,4,2162.63,-48.673873000000015,67,Medium Risk
23,2025-10-30,2,0,4,1838.8000000000002,28.000608000000003,62,Medium Risk
24,2025-08-03,0,0,2,624.97,9.009066,150,High Risk
25,2025-12-21,2,1,3,1342.49,25.034119000000004,10,Active
26,2025-12-27,1,1,3,915.9,-9.278863000000005,4,Active
27,2025-08-08,0,0,4,817.14,12.705891,145,High Risk
28,2025-09-16,0,0,2,334.16999999999996,-13.341499,106,High Risk
29,2025-01-06,0,0,1,182.96,1.563816,359,High Risk
