cashback_reduction_pct,mdr_increase_pct,projected_gmv,projected_net_revenue,projected_margin_pct,revenue_uplift
0,0.0,14270055.81,42531.5,0.298,0.0
0,0.25,14270055.81,78206.64,0.548,35675.14
0,0.5,14270055.81,113881.78,0.798,71350.28
0,1.0,14270055.81,185232.06,1.298,142700.56
5,0.0,14056004.97,47534.26,0.3382,5002.76
5,0.25,14056004.97,82674.27,0.5882,40142.77
5,0.5,14056004.97,117814.29,0.8382,75282.78
5,1.0,14056004.97,188094.31,1.3382,145562.81
10,0.0,13841954.14,52537.02,0.3795,10005.52
10,0.25,13841954.14,87141.9,0.6295,44610.4
10,0.5,13841954.14,121746.79,0.8795,79215.29
10,1.0,13841954.14,190956.56,1.3795,148425.06
15,0.0,13627903.3,57539.78,0.4222,15008.27
15,0.25,13627903.3,91609.53,0.6722,49078.03
15,0.5,13627903.3,125679.29,0.9222,83147.79
15,1.0,13627903.3,193818.81,1.4222,151287.31
20,0.0,13413852.46,62542.53,0.4663,20011.03
20,0.25,13413852.46,96077.16,0.7163,53545.66
20,0.5,13413852.46,129611.8,0.9663,87080.29
20,1.0,13413852.46,196681.06,1.4663,154149.56
25,0.0,13199801.62,67545.29,0.5117,25013.79
25,0.25,13199801.62,100544.8,0.7617,58013.29
25,0.5,13199801.62,133544.3,1.0117,91012.8
25,1.0,13199801.62,199543.31,1.5117,157011.8
30,0.0,12985750.79,72548.05,0.5587,30016.55
30,0.25,12985750.79,105012.43,0.8087,62480.92
30,0.5,12985750.79,137476.8,1.0587,94945.3
30,1.0,12985750.79,202405.56,1.5587,159874.05
35,0.0,12771699.95,77550.81,0.6072,35019.3
35,0.25,12771699.95,109480.06,0.8572,66948.55
35,0.5,12771699.95,141409.31,1.1072,98877.8
35,1.0,12771699.95,205267.81,1.6072,162736.3
40,0.0,12557649.11,82553.56,0.6574,40022.06
40,0.25,12557649.11,113947.69,0.9074,71416.18
40,0.5,12557649.11,145341.81,1.1574,102810.31
40,1.0,12557649.11,208130.06,1.6574,165598.55
45,0.0,12343598.28,87556.32,0.7093,45024.82
45,0.25,12343598.28,118415.32,0.9593,75883.81
45,0.5,12343598.28,149274.31,1.2093,106742.81
45,1.0,12343598.28,210992.3,1.7093,168460.8
50,0.0,12129547.44,92559.08,0.7631,50027.58
50,0.25,12129547.44,122882.95,1.0131,80351.45
50,0.5,12129547.44,153206.82,1.2631,110675.31
50,1.0,12129547.44,213854.55,1.7631,171323.05
